gene	non-smoker	smoker	log2_fold_change	p_value	Regulation	Significance
ilmn_1786823_icam2	78.12451612903226	72.01416666666667	-0.11749460699307408	0.0988298407972962	Downregulated	Not significant
ilmn_1812474_tfg	253.02483870967743	250.9025	-0.012152171156376228	0.8566870579315753	Downregulated	Not significant
ilmn_1755120_man1a2	73.54741935483871	72.975	-0.011272415095950002	0.8374074897325066	Downregulated	Not significant
ilmn_1781526_ppp1r8	73.55274193548387	72.975	-0.011376818254145011	0.8359005718346263	Downregulated	Not significant
ilmn_1801776_psg9	143.21951612903226	138.11583333333334	-0.052349381218296506	0.33730884678245665	Downregulated	Not significant
ilmn_1769014_gtpbp5	914.7625806451613	925.5341666666667	0.016888897107102258	0.8768446598219908	Upregulated	Not significant
ilmn_1669281_cln3	212.16951612903225	207.74416666666667	-0.030409421564306868	0.6268542341334298	Downregulated	Not significant
ilmn_1781472_cdc42bpa	914.7625806451613	925.5341666666667	0.016888897107102258	0.8768446598219908	Upregulated	Not significant
ilmn_1778684_bre	143.22016129032258	138.11583333333334	-0.05235588011539426	0.33724749871534765	Downregulated	Not significant
ilmn_1747184_pus7l	384.27290322580643	383.9141666666667	-0.0013474517152477084	0.9833122747071185	Downregulated	Not significant
ilmn_1743499_poldip2	1970.9683870967742	1919.6433333333334	-0.038066351375365896	0.6842878843602711	Downregulated	Not significant
ilmn_1713031_pgcp	3789.7101612903225	4077.505	0.10559913136817232	0.2372892582903035	Upregulated	Not significant
ilmn_1692177_tsc22d1	88.80387096774193	82.35333333333334	-0.10879551948205259	0.11880699506424651	Downregulated	Not significant
ilmn_1785202_stat4	91.23645161290322	106.21666666666667	0.21932791677142605	0.08351144890706619	Upregulated	Not significant
ilmn_1771185_eme2	160.44096774193548	153.54583333333332	-0.06337320985490014	0.31644038037573385	Downregulated	Not significant
ilmn_1670899_fbn2	911.1070967741936	952.8883333333333	0.06468651144005196	0.4203938483709465	Upregulated	Not significant
ilmn_1692026_suv420h1	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
ilmn_1689004_tnfrsf12a	73.56903225806451	72.975	-0.011696308252501154	0.8313059937241607	Downregulated	Not significant
ilmn_1812041_upk1b	73.55709677419355	72.975	-0.011462233400640712	0.8346680105410057	Downregulated	Not significant
ilmn_1678075_cdyl	384.28629032258067	383.9141666666667	-0.001397710688901627	0.9826905281195726	Downregulated	Not significant
ilmn_1688413_snw1	253.02967741935484	250.9025	-0.012179760209466975	0.8563491280397018	Downregulated	Not significant
ilmn_1776861_hap1	91.23919354838709	106.23083333333334	0.2194769668824899	0.08313611618608117	Upregulated	Not significant
ilmn_1753101_vtcn1	85.32935483870968	87.13666666666667	0.030237785256102715	0.7053680269045545	Upregulated	Not significant
ilmn_1779998_tfb2m	101.35225806451614	104.3125	0.041533818087557114	0.5177087345808322	Upregulated	Not significant
ilmn_1681154_zbtb39	914.7561290322581	925.5316666666666	0.016895175213067357	0.8767997504365777	Upregulated	Not significant
ilmn_1742460_pcdh11y	3453.304677419355	3287.0416666666665	-0.07118788140123465	0.24844270185140305	Downregulated	Not significant
ilmn_1662306_rabl3	88.7941935483871	82.3625	-0.10847771694165216	0.11977289119350247	Downregulated	Not significant
ilmn_1787576_clcnka	160.44370967741935	153.54583333333332	-0.06339786529658045	0.3162527459948354	Downregulated	Not significant
ilmn_1696087_phb2	3453.3148387096776	3287.0416666666665	-0.07119212650062759	0.2484178709560982	Downregulated	Not significant
ilmn_1665696_efna4	1970.9567741935484	1919.6433333333334	-0.03805785102225988	0.6843544234685177	Downregulated	Not significant
ilmn_1799725_dock2	154.04612903225805	156.185	0.019893473882605716	0.7539012434453805	Upregulated	Not significant
ilmn_1724826_dnm1l	91.23903225806451	106.23	0.2194681999031293	0.08315814288184505	Upregulated	Not significant
ilmn_1687440_hipk2	143.22016129032258	138.11583333333334	-0.05235588011539426	0.33724749871534765	Downregulated	Not significant
ilmn_1756352_mapbpip	911.1074193548387	952.8883333333333	0.06468600064893165	0.4204000108893924	Upregulated	Not significant
ilmn_1764494_atp5a1	384.2624193548387	383.9141666666667	-0.0013080910555330256	0.983800310438053	Downregulated	Not significant
ilmn_1740586_pla2g2a	78.1183870967742	72.01833333333333	-0.11729794964170266	0.09947059636768169	Downregulated	Not significant
ilmn_1779399_snrpa	3787.675806451613	4077.565	0.10639502156467764	0.23406480390887188	Upregulated	Not significant
ilmn_1741727_qpct	914.7588709677419	925.5333333333333	0.016893448768676787	0.8768120021568998	Upregulated	Not significant
ilmn_1769941_ube2f	85.33177419354838	87.13666666666667	0.030196880906670796	0.7057393045404303	Upregulated	Not significant
ilmn_1813091_arl1	78.12354838709678	72.025	-0.11725972282326913	0.0997417940888719	Downregulated	Not significant
ilmn_1781966_osbp2	143.21951612903226	138.11583333333334	-0.052349381218296506	0.33730884678245665	Downregulated	Not significant
ilmn_1657016_ank3	85.33370967741935	87.13666666666667	0.030164158262125016	0.7060364371328918	Upregulated	Not significant
ilmn_1732612_shb	91.23709677419355	106.22	0.21936298957718933	0.08342296722370275	Upregulated	Not significant
ilmn_1727271_wars	384.258064516129	383.9141666666667	-0.0012917409273522779	0.9839978570302619	Downregulated	Not significant
ilmn_1758128_cygb	1993.0970967741935	2006.2766666666666	0.009508573131337381	0.8273639157187554	Upregulated	Not significant
